model	rmsd_full	rmsd_framework	rmsd_h1	rmsd_h2	rmsd_h3	rmsd_l1	rmsd_l2	rmsd_l3	pdb
7mrz_unrelaxed_rank_022_alphafold2_multimer_v3_model_3_seed_001	0.619	0.67	2.959	0.708	0.559	0.882	0.512	0.98	7mrz
7mrz_unrelaxed_rank_006_alphafold2_multimer_v3_model_1_seed_004	0.643	0.732	2.94	0.831	0.581	1.236	0.669	1.228	7mrz
7mrz_unrelaxed_rank_008_alphafold2_multimer_v3_model_2_seed_003	0.637	0.776	3.028	0.659	0.593	1.123	0.584	1.108	7mrz
7mrz_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_002	0.616	0.663	2.964	0.673	0.575	1.029	0.524	0.975	7mrz
7mrz_unrelaxed_rank_007_alphafold2_multimer_v3_model_4_seed_003	0.735	0.71	2.988	0.895	0.689	1.555	0.792	1.815	7mrz
7mrz_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_003	0.639	0.688	2.94	0.769	0.58	1.152	0.642	1.169	7mrz
7mrz_unrelaxed_rank_010_alphafold2_multimer_v3_model_2_seed_001	0.627	0.748	2.908	0.696	0.584	1.006	0.582	0.95	7mrz
7mrz_unrelaxed_rank_015_alphafold2_multimer_v3_model_3_seed_000	0.755	0.713	2.921	0.872	0.626	1.317	0.701	1.789	7mrz
7msq_unrelaxed_rank_015_alphafold2_multimer_v3_model_5_seed_004	0.475	0.51	0.753	0.558	8.647	0.472	0.21	0.51	7msq
7msq_unrelaxed_rank_008_alphafold2_multimer_v3_model_2_seed_003	0.485	0.515	1.092	0.738	8.555	0.65	0.305	0.612	7msq
7msq_unrelaxed_rank_021_alphafold2_multimer_v3_model_2_seed_004	0.475	0.55	1.119	0.648	10.036	0.366	0.246	0.494	7msq
7msq_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_003	0.468	0.484	1.012	0.66	8.7	0.838	0.421	0.707	7msq
7msq_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_000	0.472	0.55	0.765	0.863	10.086	0.455	0.265	0.42	7msq
7msq_unrelaxed_rank_019_alphafold2_multimer_v3_model_4_seed_000	0.448	0.506	1.086	0.863	10.218	0.579	0.306	0.548	7msq
7msq_unrelaxed_rank_016_alphafold2_multimer_v3_model_2_seed_000	0.493	0.563	1.114	0.708	9.213	0.551	0.222	0.575	7msq
7msq_unrelaxed_rank_022_alphafold2_multimer_v3_model_3_seed_003	0.466	0.502	0.671	0.903	9.35	0.627	0.297	0.532	7msq
7msq_unrelaxed_rank_013_alphafold2_multimer_v3_model_1_seed_002	0.472	0.56	1.096	0.714	9.656	0.374	0.25	0.526	7msq
7msq_unrelaxed_rank_003_alphafold2_multimer_v3_model_4_seed_002	0.452	0.493	1.034	0.666	7.676	0.782	0.29	0.655	7msq
7msq_unrelaxed_rank_014_alphafold2_multimer_v3_model_5_seed_003	0.483	0.512	0.71	0.688	7.853	0.647	0.258	0.559	7msq
7msq_unrelaxed_rank_009_alphafold2_multimer_v3_model_5_seed_001	0.477	0.505	0.808	0.725	8.037	0.648	0.304	0.586	7msq
7msq_unrelaxed_rank_011_alphafold2_multimer_v3_model_2_seed_001	0.492	0.54	1.104	0.705	8.951	0.623	0.271	0.6	7msq
7msq_unrelaxed_rank_020_alphafold2_multimer_v3_model_2_seed_002	0.474	0.524	1.098	0.646	9.687	0.428	0.22	0.504	7msq
7msq_unrelaxed_rank_025_alphafold2_multimer_v3_model_3_seed_004	0.457	0.603	1.136	0.763	9.892	0.341	0.386	0.561	7msq
7msq_unrelaxed_rank_006_alphafold2_multimer_v3_model_4_seed_004	0.458	0.478	1.053	0.664	9.024	0.779	0.384	0.693	7msq
7msq_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_001	0.478	0.614	1.067	0.773	8.837	0.556	0.27	0.569	7msq
7msq_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_003	0.477	0.539	1.078	0.771	8.727	0.564	0.274	0.555	7msq
7msq_unrelaxed_rank_017_alphafold2_multimer_v3_model_3_seed_002	0.487	0.514	0.71	0.677	8.327	0.747	0.268	0.61	7msq
7msq_unrelaxed_rank_023_alphafold2_multimer_v3_model_5_seed_000	0.461	0.542	0.763	0.772	9.807	0.352	0.221	0.531	7msq
7msq_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_001	0.46	0.472	1.067	0.661	8.36	0.796	0.374	0.695	7msq
7msq_unrelaxed_rank_007_alphafold2_multimer_v3_model_1_seed_004	0.455	0.569	1.054	0.769	9.65	0.413	0.282	0.456	7msq
7msq_unrelaxed_rank_012_alphafold2_multimer_v3_model_5_seed_002	0.488	0.499	0.803	0.646	8.204	0.691	0.297	0.619	7msq
7msq_unrelaxed_rank_010_alphafold2_multimer_v3_model_1_seed_000	0.478	0.606	1.12	0.766	9.458	0.346	0.312	0.498	7msq
7msq_unrelaxed_rank_018_alphafold2_multimer_v3_model_3_seed_001	0.488	0.518	0.67	0.93	8.555	0.707	0.312	0.617	7msq
7mzf_unrelaxed_rank_014_alphafold2_multimer_v3_model_5_seed_004	0.441	0.576	0.683	0.777	0.913	0.69	0.435	0.921	7mzf
7mzf_unrelaxed_rank_020_alphafold2_multimer_v3_model_5_seed_002	0.451	0.63	0.716	0.799	1.162	0.849	0.505	1.063	7mzf
7mzf_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_002	0.387	0.595	0.687	0.7	0.984	0.622	0.331	0.539	7mzf
7mzf_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_000	0.382	0.633	0.673	0.74	0.578	0.597	0.322	0.548	7mzf
7mzf_unrelaxed_rank_009_alphafold2_multimer_v3_model_4_seed_004	0.557	0.537	0.587	0.629	0.885	0.402	0.269	0.916	7mzf
7mzf_unrelaxed_rank_025_alphafold2_multimer_v3_model_4_seed_002	7.205	9.27	2.643	2.857	8.396	1.901	1.598	9.743	7mzf
7mzf_unrelaxed_rank_011_alphafold2_multimer_v3_model_2_seed_003	0.375	0.72	0.649	0.606	1.002	0.306	0.23	0.444	7mzf
7mzf_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_001	0.581	0.546	0.583	0.633	0.821	0.443	0.275	1.071	7mzf
7mzf_unrelaxed_rank_012_alphafold2_multimer_v3_model_5_seed_001	0.459	0.576	0.655	0.71	1.0	0.679	0.383	1.033	7mzf
7mzf_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_000	0.452	0.572	0.652	0.739	0.761	0.757	0.421	0.999	7mzf
7mzf_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_004	0.39	0.624	0.682	0.764	0.944	0.607	0.32	0.613	7mzf
7mzf_unrelaxed_rank_017_alphafold2_multimer_v3_model_5_seed_000	0.46	0.583	0.66	0.693	0.991	0.7	0.417	1.065	7mzf
7mzf_unrelaxed_rank_018_alphafold2_multimer_v3_model_2_seed_000	0.459	0.506	0.614	0.513	0.916	0.208	0.216	1.154	7mzf
7mzf_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_002	0.47	0.692	0.791	0.903	1.187	0.953	0.576	1.072	7mzf
7mzf_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_003	0.482	0.623	0.678	0.807	0.98	0.817	0.484	0.995	7mzf
7mzf_unrelaxed_rank_015_alphafold2_multimer_v3_model_5_seed_003	0.452	0.556	0.623	0.685	0.896	0.614	0.379	0.956	7mzf
7mzf_unrelaxed_rank_007_alphafold2_multimer_v3_model_4_seed_000	0.476	0.482	0.583	0.607	0.545	0.42	0.265	1.08	7mzf
7mzf_unrelaxed_rank_010_alphafold2_multimer_v3_model_2_seed_004	0.37	0.568	0.598	0.619	1.004	0.346	0.238	0.467	7mzf
7mzf_unrelaxed_rank_008_alphafold2_multimer_v3_model_4_seed_003	0.493	0.491	0.633	0.559	0.93	0.324	0.253	1.151	7mzf
7mzf_unrelaxed_rank_006_alphafold2_multimer_v3_model_1_seed_001	0.438	0.581	0.667	0.708	0.929	0.572	0.293	0.919	7mzf
7mzf_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_003	0.402	0.595	0.624	0.729	0.521	0.648	0.357	0.54	7mzf
7mzf_unrelaxed_rank_022_alphafold2_multimer_v3_model_3_seed_004	0.447	0.671	0.763	0.908	1.017	0.897	0.573	0.881	7mzf
7mzf_unrelaxed_rank_016_alphafold2_multimer_v3_model_2_seed_001	0.362	0.543	0.558	0.605	0.934	0.347	0.228	0.414	7mzf
7mzf_unrelaxed_rank_019_alphafold2_multimer_v3_model_3_seed_001	0.463	0.668	0.789	0.897	1.04	0.952	0.56	0.999	7mzf
7mzf_unrelaxed_rank_013_alphafold2_multimer_v3_model_2_seed_002	0.362	0.521	0.591	0.568	0.955	0.308	0.228	0.41	7mzf
7mzg_unrelaxed_rank_004_alphafold2_multimer_v3_model_5_seed_002	0.721	0.861	1.437	0.96	1.126	1.281	0.685	1.686	7mzg
7mzg_unrelaxed_rank_022_alphafold2_multimer_v3_model_2_seed_000	0.782	0.956	1.491	1.223	1.748	1.544	1.032	1.758	7mzg
7mzg_unrelaxed_rank_016_alphafold2_multimer_v3_model_3_seed_001	0.688	0.914	1.531	1.129	1.689	1.412	0.817	1.405	7mzg
7mzg_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000	0.747	0.894	1.546	1.097	2.582	1.471	0.921	1.556	7mzg
7mzg_unrelaxed_rank_013_alphafold2_multimer_v3_model_5_seed_000	0.772	0.869	1.574	1.131	1.812	1.377	0.837	1.802	7mzg
7mzg_unrelaxed_rank_019_alphafold2_multimer_v3_model_3_seed_002	0.691	0.886	1.529	1.116	1.827	1.345	0.795	1.457	7mzg
7mzg_unrelaxed_rank_011_alphafold2_multimer_v3_model_1_seed_003	0.789	0.916	1.523	1.157	1.466	1.445	0.899	1.798	7mzg
7mzg_unrelaxed_rank_024_alphafold2_multimer_v3_model_4_seed_002	7.626	9.436	1.731	1.481	10.52	0.861	0.792	11.042	7mzg
7mzg_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_000	0.702	0.884	1.518	1.111	1.687	1.365	0.813	1.541	7mzg
7mzg_unrelaxed_rank_015_alphafold2_multimer_v3_model_3_seed_004	0.702	0.882	1.567	1.135	1.883	1.36	0.844	1.512	7mzg
7mzg_unrelaxed_rank_008_alphafold2_multimer_v3_model_5_seed_001	0.826	0.858	1.476	1.04	1.065	1.349	0.73	2.059	7mzg
7mzg_unrelaxed_rank_012_alphafold2_multimer_v3_model_1_seed_004	0.792	0.983	1.536	1.175	1.385	1.535	0.971	1.755	7mzg
7mzg_unrelaxed_rank_018_alphafold2_multimer_v3_model_5_seed_004	0.749	0.847	1.454	1.08	1.262	1.281	0.784	1.768	7mzg
7mzg_unrelaxed_rank_017_alphafold2_multimer_v3_model_5_seed_003	0.806	0.858	1.545	1.171	2.407	1.387	0.822	1.946	7mzg
7mzg_unrelaxed_rank_010_alphafold2_multimer_v3_model_1_seed_000	0.778	0.93	1.55	1.23	1.734	1.513	0.976	1.718	7mzg
7mzg_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_003	0.734	0.891	1.519	1.07	1.639	1.425	0.867	1.544	7mzg
7mzg_unrelaxed_rank_023_alphafold2_multimer_v3_model_2_seed_003	0.745	0.926	1.541	1.237	1.804	1.514	1.01	1.587	7mzg
7mzg_unrelaxed_rank_007_alphafold2_multimer_v3_model_1_seed_001	0.793	0.894	1.519	1.132	1.547	1.403	0.881	1.844	7mzg
7mzg_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_002	0.783	0.913	1.556	1.23	1.863	1.458	0.943	1.766	7mzg
7mzg_unrelaxed_rank_014_alphafold2_multimer_v3_model_3_seed_003	0.689	0.892	1.482	1.093	1.362	1.362	0.785	1.445	7mzg
7mzg_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_001	0.732	0.951	1.674	1.303	2.513	1.538	1.025	1.552	7mzg
7mzg_unrelaxed_rank_006_alphafold2_multimer_v3_model_4_seed_004	0.747	0.895	1.638	1.187	2.387	1.463	1.006	1.643	7mzg
7mzg_unrelaxed_rank_020_alphafold2_multimer_v3_model_2_seed_004	0.757	0.956	1.581	1.255	2.488	1.603	1.057	1.575	7mzg
7mzg_unrelaxed_rank_025_alphafold2_multimer_v3_model_4_seed_001	7.586	9.4	2.41	2.615	11.163	1.768	1.286	10.837	7mzg
7mzg_unrelaxed_rank_009_alphafold2_multimer_v3_model_2_seed_002	0.728	0.933	1.579	1.285	2.485	1.509	1.021	1.545	7mzg
7mzh_unrelaxed_rank_017_alphafold2_multimer_v3_model_4_seed_000	0.734	0.713	0.841	0.732	0.767	0.553	0.329	0.618	7mzh
7mzh_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_002	0.799	0.76	0.757	0.662	0.764	0.544	0.241	0.616	7mzh
7mzh_unrelaxed_rank_012_alphafold2_multimer_v3_model_4_seed_001	0.431	0.517	0.801	0.78	0.822	0.539	0.297	0.685	7mzh
7mzh_unrelaxed_rank_023_alphafold2_multimer_v3_model_2_seed_003	0.781	0.711	0.709	0.571	0.743	0.538	0.246	0.688	7mzh
7mzh_unrelaxed_rank_007_alphafold2_multimer_v3_model_1_seed_003	0.8	0.75	0.709	0.634	0.765	0.522	0.222	0.603	7mzh
7mzh_unrelaxed_rank_018_alphafold2_multimer_v3_model_3_seed_004	0.764	0.707	0.704	0.635	0.357	0.508	0.277	0.614	7mzh
7mzh_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_002	0.758	0.722	0.786	0.718	0.745	0.555	0.31	0.669	7mzh
7mzh_unrelaxed_rank_009_alphafold2_multimer_v3_model_5_seed_003	0.747	0.713	0.746	0.682	0.718	0.503	0.312	0.565	7mzh
7mzh_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_004	0.756	0.731	0.792	0.67	0.799	0.565	0.272	0.661	7mzh
7mzh_unrelaxed_rank_011_alphafold2_multimer_v3_model_5_seed_004	0.765	0.727	0.769	0.697	0.713	0.53	0.301	0.555	7mzh
7mzh_unrelaxed_rank_014_alphafold2_multimer_v3_model_2_seed_004	0.773	0.75	0.921	0.861	0.936	0.611	0.321	0.728	7mzh
7mzh_unrelaxed_rank_025_alphafold2_multimer_v3_model_2_seed_000	0.772	0.741	0.88	0.781	0.893	0.537	0.261	0.653	7mzh
7mzh_unrelaxed_rank_020_alphafold2_multimer_v3_model_2_seed_002	0.794	0.746	0.791	0.663	0.783	0.559	0.235	0.652	7mzh
7mzh_unrelaxed_rank_004_alphafold2_multimer_v3_model_3_seed_000	0.78	0.878	1.295	1.162	1.573	0.835	0.608	0.933	7mzh
7mzh_unrelaxed_rank_016_alphafold2_multimer_v3_model_3_seed_003	0.758	0.707	0.711	0.621	0.345	0.504	0.285	0.6	7mzh
7mzh_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_001	0.757	0.797	1.045	0.944	1.031	0.679	0.405	0.781	7mzh
7mzh_unrelaxed_rank_019_alphafold2_multimer_v3_model_4_seed_004	0.746	0.746	0.874	0.799	0.805	0.578	0.37	0.603	7mzh
7mzh_unrelaxed_rank_022_alphafold2_multimer_v3_model_2_seed_001	0.732	0.815	1.127	1.013	1.62	0.84	0.455	1.256	7mzh
7mzh_unrelaxed_rank_006_alphafold2_multimer_v3_model_1_seed_000	0.765	0.723	0.693	0.57	0.742	0.507	0.216	0.626	7mzh
7mzh_unrelaxed_rank_013_alphafold2_multimer_v3_model_4_seed_003	0.737	0.735	0.832	0.751	0.752	0.527	0.356	0.595	7mzh
7mzh_unrelaxed_rank_015_alphafold2_multimer_v3_model_3_seed_002	0.767	0.702	0.641	0.603	0.333	0.514	0.28	0.623	7mzh
7mzh_unrelaxed_rank_021_alphafold2_multimer_v3_model_5_seed_001	0.72	0.79	1.16	1.13	1.682	0.738	0.546	1.032	7mzh
7mzh_unrelaxed_rank_010_alphafold2_multimer_v3_model_5_seed_000	0.76	0.714	0.763	0.67	0.707	0.501	0.285	0.553	7mzh
7mzh_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_001	0.753	0.849	1.264	1.205	1.728	0.712	0.55	0.988	7mzh
7mzh_unrelaxed_rank_008_alphafold2_multimer_v3_model_5_seed_002	0.753	0.715	0.763	0.672	0.662	0.542	0.344	0.6	7mzh
7mzi_unrelaxed_rank_008_alphafold2_multimer_v3_model_4_seed_001	0.51	0.445	0.322	0.706	0.766	0.618	0.34	0.871	7mzi
7mzi_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_003	0.47	0.536	0.39	0.715	0.698	0.53	0.328	0.752	7mzi
7mzi_unrelaxed_rank_010_alphafold2_multimer_v3_model_4_seed_000	0.764	0.613	0.331	0.678	0.77	0.509	0.354	1.024	7mzi
7mzi_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_002	0.486	0.412	0.37	0.682	0.741	0.458	0.411	0.806	7mzi
7mzi_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_000	0.52	0.469	0.384	0.733	0.752	0.45	0.474	0.729	7mzi
7mzi_unrelaxed_rank_007_alphafold2_multimer_v3_model_4_seed_002	0.491	0.436	0.319	0.712	0.741	0.614	0.343	0.874	7mzi
7mzi_unrelaxed_rank_015_alphafold2_multimer_v3_model_5_seed_000	0.554	0.422	0.319	0.679	0.771	0.579	0.396	1.182	7mzi
7mzi_unrelaxed_rank_013_alphafold2_multimer_v3_model_5_seed_001	0.521	0.435	0.32	0.692	0.792	0.601	0.442	1.043	7mzi
7mzi_unrelaxed_rank_016_alphafold2_multimer_v3_model_2_seed_000	0.428	0.506	0.37	0.612	0.674	0.514	0.285	0.725	7mzi
7mzi_unrelaxed_rank_019_alphafold2_multimer_v3_model_2_seed_002	0.442	0.4	0.373	0.626	0.69	0.469	0.34	0.722	7mzi
7mzi_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_001	0.466	0.45	0.367	0.7	0.724	0.566	0.357	0.687	7mzi
7mzi_unrelaxed_rank_022_alphafold2_multimer_v3_model_2_seed_003	0.447	0.437	0.399	0.677	0.667	0.489	0.341	0.768	7mzi
7mzi_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_004	0.473	0.456	0.376	0.708	0.75	0.579	0.361	0.752	7mzi
7mzi_unrelaxed_rank_025_alphafold2_multimer_v3_model_3_seed_003	0.541	0.484	0.331	0.695	0.753	0.5	0.511	0.717	7mzi
7mzi_unrelaxed_rank_014_alphafold2_multimer_v3_model_5_seed_003	0.545	0.414	0.312	0.67	0.782	0.661	0.39	1.134	7mzi
7mzi_unrelaxed_rank_006_alphafold2_multimer_v3_model_4_seed_004	0.483	0.432	0.328	0.715	0.741	0.631	0.36	0.901	7mzi
7mzi_unrelaxed_rank_011_alphafold2_multimer_v3_model_5_seed_004	0.533	0.414	0.322	0.639	0.82	0.494	0.404	1.141	7mzi
7mzi_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_000	0.479	0.544	0.402	0.733	0.714	0.566	0.316	0.803	7mzi
7mzi_unrelaxed_rank_009_alphafold2_multimer_v3_model_4_seed_003	0.538	0.433	0.32	0.714	0.749	0.754	0.34	0.982	7mzi
7mzi_unrelaxed_rank_020_alphafold2_multimer_v3_model_3_seed_004	0.477	0.423	0.323	0.637	0.826	0.448	0.423	0.734	7mzi
7mzi_unrelaxed_rank_018_alphafold2_multimer_v3_model_2_seed_001	0.439	0.411	0.35	0.608	0.688	0.552	0.317	0.654	7mzi
7mzi_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_002	0.478	0.448	0.38	0.683	0.789	0.545	0.356	0.738	7mzi
7mzi_unrelaxed_rank_017_alphafold2_multimer_v3_model_2_seed_004	0.474	0.401	0.366	0.63	0.717	0.796	0.33	0.734	7mzi
7mzi_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_001	0.5	0.442	0.336	0.711	0.755	0.522	0.452	0.841	7mzi
7mzi_unrelaxed_rank_012_alphafold2_multimer_v3_model_5_seed_002	0.544	0.409	0.315	0.64	0.772	0.759	0.393	1.076	7mzi
7mzj_unrelaxed_rank_017_alphafold2_multimer_v3_model_2_seed_003	0.563	0.535	0.387	0.592	3.116	0.521	0.682	1.314	7mzj
7mzj_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_000	0.547	0.454	0.28	0.692	2.776	0.382	0.478	1.187	7mzj
7mzj_unrelaxed_rank_018_alphafold2_multimer_v3_model_2_seed_004	0.522	0.52	0.396	0.795	3.905	0.477	0.529	0.978	7mzj
7mzj_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_004	0.557	0.521	0.321	0.719	2.813	0.499	0.596	1.241	7mzj
7mzj_unrelaxed_rank_023_alphafold2_multimer_v3_model_2_seed_000	0.568	0.5	0.725	0.637	6.801	0.458	0.442	1.098	7mzj
7mzj_unrelaxed_rank_012_alphafold2_multimer_v3_model_4_seed_003	0.531	0.447	0.294	0.547	2.664	0.368	0.437	1.114	7mzj
7mzj_unrelaxed_rank_025_alphafold2_multimer_v3_model_2_seed_001	0.555	0.51	0.394	0.803	7.566	0.419	0.431	1.078	7mzj
7mzj_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_002	0.587	0.471	0.406	0.741	2.483	0.392	0.467	1.292	7mzj
7mzj_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_003	0.536	0.544	0.361	0.813	2.999	0.592	0.587	1.176	7mzj
7mzj_unrelaxed_rank_020_alphafold2_multimer_v3_model_3_seed_003	0.565	0.487	0.437	0.66	3.103	0.403	0.478	1.302	7mzj
7mzj_unrelaxed_rank_006_alphafold2_multimer_v3_model_5_seed_004	0.515	0.51	0.379	0.962	3.076	0.545	0.397	1.037	7mzj
7mzj_unrelaxed_rank_011_alphafold2_multimer_v3_model_5_seed_003	0.519	0.493	0.449	0.966	2.666	0.482	0.383	1.011	7mzj
7mzj_unrelaxed_rank_009_alphafold2_multimer_v3_model_3_seed_004	0.539	0.592	0.524	0.688	4.815	0.606	0.683	1.43	7mzj
7mzj_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_001	0.54	0.524	0.295	0.888	3.365	0.539	0.566	1.133	7mzj
7mzj_unrelaxed_rank_019_alphafold2_multimer_v3_model_3_seed_001	0.532	0.639	0.679	0.682	3.794	0.771	0.785	1.538	7mzj
7mzj_unrelaxed_rank_013_alphafold2_multimer_v3_model_5_seed_001	0.53	0.531	0.405	1.077	3.049	0.605	0.395	1.091	7mzj
7mzj_unrelaxed_rank_022_alphafold2_multimer_v3_model_4_seed_002	0.548	0.454	0.316	0.574	4.117	0.39	0.439	1.171	7mzj
7mzj_unrelaxed_rank_016_alphafold2_multimer_v3_model_4_seed_004	0.563	0.477	0.277	0.622	2.838	0.406	0.498	1.272	7mzj
7mzj_unrelaxed_rank_014_alphafold2_multimer_v3_model_1_seed_000	0.569	0.542	0.754	0.81	6.55	0.6	0.415	1.163	7mzj
7mzj_unrelaxed_rank_010_alphafold2_multimer_v3_model_5_seed_002	0.535	0.505	0.493	0.828	4.443	0.52	0.344	1.105	7mzj
7mzj_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_002	0.571	0.482	0.375	0.626	3.269	0.395	0.494	1.32	7mzj
7mzj_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_000	0.547	0.473	0.427	0.691	3.244	0.445	0.449	1.182	7mzj
7mzj_unrelaxed_rank_015_alphafold2_multimer_v3_model_2_seed_002	0.539	0.545	0.325	0.839	3.206	0.547	0.614	1.21	7mzj
7mzj_unrelaxed_rank_007_alphafold2_multimer_v3_model_5_seed_000	0.527	0.511	0.389	1.016	3.18	0.52	0.427	1.101	7mzj
7mzj_unrelaxed_rank_008_alphafold2_multimer_v3_model_4_seed_001	0.538	0.502	0.292	0.664	3.031	0.506	0.546	1.182	7mzj
7mzk_unrelaxed_rank_010_alphafold2_multimer_v3_model_5_seed_002	0.447	0.564	0.461	0.906	1.974	0.344	0.324	0.997	7mzk
7mzk_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_003	7.221	9.238	1.256	1.447	8.825	0.879	0.879	10.361	7mzk
7mzk_unrelaxed_rank_015_alphafold2_multimer_v3_model_5_seed_001	0.462	0.554	0.435	0.88	2.239	0.429	0.324	0.998	7mzk
7mzk_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_002	0.453	0.551	0.632	2.037	2.21	0.375	0.323	0.987	7mzk
7mzk_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_004	0.396	0.436	0.394	0.787	2.255	0.392	0.263	0.956	7mzk
7mzk_unrelaxed_rank_021_alphafold2_multimer_v3_model_5_seed_003	0.457	0.526	0.439	0.894	2.662	0.64	0.321	0.947	7mzk
7mzk_unrelaxed_rank_004_alphafold2_multimer_v3_model_2_seed_002	0.519	0.574	0.443	0.835	2.169	0.658	0.294	1.009	7mzk
7mzk_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000	0.458	0.539	0.454	0.823	2.326	0.44	0.272	0.949	7mzk
7mzk_unrelaxed_rank_022_alphafold2_multimer_v3_model_2_seed_001	0.545	0.519	0.464	0.931	2.502	1.037	0.258	0.891	7mzk
7mzk_unrelaxed_rank_016_alphafold2_multimer_v3_model_2_seed_004	0.503	0.564	0.478	1.237	2.517	0.586	0.235	0.957	7mzk
7mzk_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000	0.371	0.41	0.426	0.777	2.353	0.511	0.273	0.997	7mzk
7mzk_unrelaxed_rank_013_alphafold2_multimer_v3_model_4_seed_001	0.41	0.431	0.431	0.838	2.154	0.585	0.284	0.922	7mzk
7mzk_unrelaxed_rank_019_alphafold2_multimer_v3_model_3_seed_002	0.465	0.546	0.562	1.169	2.384	0.545	0.237	0.999	7mzk
7mzk_unrelaxed_rank_011_alphafold2_multimer_v3_model_1_seed_003	0.506	0.495	0.408	0.801	2.213	0.837	0.231	0.991	7mzk
7mzk_unrelaxed_rank_009_alphafold2_multimer_v3_model_4_seed_000	0.41	0.486	0.416	0.789	3.058	0.569	0.311	1.034	7mzk
7mzk_unrelaxed_rank_020_alphafold2_multimer_v3_model_4_seed_004	0.498	0.559	0.546	1.21	4.142	0.641	0.301	0.975	7mzk
7mzk_unrelaxed_rank_006_alphafold2_multimer_v3_model_2_seed_003	0.513	0.56	0.455	0.85	2.305	0.647	0.283	0.959	7mzk
7mzk_unrelaxed_rank_014_alphafold2_multimer_v3_model_5_seed_000	0.452	0.545	0.465	0.876	1.995	0.38	0.308	1.032	7mzk
7mzk_unrelaxed_rank_025_alphafold2_multimer_v3_model_4_seed_003	7.206	9.236	1.135	1.497	8.894	0.645	0.838	10.241	7mzk
7mzk_unrelaxed_rank_023_alphafold2_multimer_v3_model_5_seed_004	0.451	0.497	0.477	1.143	2.622	0.641	0.269	0.938	7mzk
7mzk_unrelaxed_rank_008_alphafold2_multimer_v3_model_1_seed_001	0.477	0.438	0.491	0.82	2.583	0.979	0.314	0.984	7mzk
7mzk_unrelaxed_rank_012_alphafold2_multimer_v3_model_3_seed_004	0.462	0.55	0.644	2.037	2.004	0.448	0.282	1.032	7mzk
7mzk_unrelaxed_rank_018_alphafold2_multimer_v3_model_3_seed_000	0.435	0.477	0.435	0.841	2.371	0.689	0.258	0.978	7mzk
7mzk_unrelaxed_rank_007_alphafold2_multimer_v3_model_1_seed_002	0.416	0.427	0.412	0.803	2.293	0.659	0.231	0.932	7mzk
7mzk_unrelaxed_rank_017_alphafold2_multimer_v3_model_3_seed_001	0.463	0.524	0.481	1.303	2.147	0.539	0.228	0.952	7mzk
