model	rmsd_full	rmsd_framework	rmsd_h1	rmsd_h2	rmsd_h3	rmsd_l1	rmsd_l2	rmsd_l3
7s11_98_1	0.630	0.912	0.800	0.625	1.930	0.716	0.728	1.005
7s11_65_1	0.610	0.909	0.879	0.734	1.936	0.781	0.850	0.836
7s11_80_0	0.588	1.481	1.183	1.289	4.286	1.195	1.623	1.491
7s11_33_0	0.628	0.999	1.150	0.782	4.826	0.801	1.038	1.146
7s11_54_2	0.637	0.982	0.903	0.907	2.183	0.613	0.791	1.007
7s11_66_0	0.627	0.806	1.094	0.858	1.900	0.699	0.625	0.703
7s11_28_0	0.637	0.842	1.024	0.805	1.897	0.505	0.514	0.730
7s11_75_2	0.617	0.915	0.764	0.611	2.296	0.743	0.844	0.849
7s11_97_0	0.662	0.795	1.088	0.946	2.298	0.592	0.447	0.787
7s11_37_2	0.619	1.020	0.843	1.003	2.081	0.631	0.813	1.029
7s11_63_2	0.617	1.329	1.320	0.983	4.431	1.489	1.448	0.928
7s11_18_4	0.633	0.797	1.051	0.662	2.236	0.716	0.685	0.790
7s11_13_0	0.592	1.123	0.928	0.860	4.805	0.978	1.208	1.381
7s11_39_3	0.612	0.970	0.819	0.709	2.220	0.788	1.012	0.928
7s11_39_4	0.594	0.920	0.694	0.662	2.492	0.660	0.874	0.939
7s11_18_3	0.627	0.889	0.807	0.914	2.279	0.756	0.760	0.854
7msq_28_4	0.472	0.499	1.168	1.118	8.957	0.720	0.246	0.558
7msq_66_3	0.513	0.612	0.675	0.949	7.584	0.695	0.233	0.516
7msq_54_1	0.535	0.630	0.697	0.746	7.707	0.683	0.216	0.509
7msq_66_4	0.508	0.543	0.985	0.968	7.331	0.735	0.218	0.563
7msq_75_1	0.517	0.571	0.716	0.995	7.346	0.702	0.224	0.535
7msq_28_3	0.543	0.517	1.079	1.087	9.401	0.757	0.309	0.617
7msq_97_4	0.463	0.494	0.710	0.814	7.761	0.748	0.324	0.523
7msq_37_1	0.375	0.468	0.510	1.015	5.936	0.641	0.200	0.534
7msq_97_3	0.526	0.550	0.655	0.739	8.722	0.644	0.263	0.542
7msq_63_1	0.497	0.503	1.003	1.095	7.411	0.682	0.332	0.594
7msq_13_3	0.510	0.595	0.716	0.914	7.770	0.583	0.206	0.515
7msq_39_0	0.379	0.557	1.228	1.065	7.386	0.770	0.208	0.528
7msq_13_4	0.523	0.564	1.048	0.854	7.599	0.708	0.198	0.553
7msq_18_0	0.537	0.598	0.620	1.057	7.570	0.755	0.228	0.528
7msq_46_4	0.492	0.521	0.684	0.762	7.399	0.632	0.263	0.477
7msq_46_3	0.501	0.572	0.889	0.709	10.477	0.599	0.216	0.488
7msq_52_2	0.492	0.543	0.535	0.638	6.668	0.618	0.218	0.496
7msq_50_3	0.516	0.794	0.789	1.014	8.371	0.980	0.343	0.601
7msq_62_1	0.444	0.472	1.115	1.050	7.407	0.636	0.288	0.559
7msq_50_4	0.495	0.574	0.928	1.422	5.716	0.773	0.263	0.578
7msq_34_0	0.462	0.583	1.149	1.024	7.826	0.668	0.219	0.520
7msq_65_2	0.393	0.494	0.443	0.781	4.091	0.755	0.277	0.547
7msq_98_2	0.397	0.487	1.189	1.138	5.489	0.736	0.276	0.565
7msq_33_4	0.462	0.546	0.741	1.097	7.960	0.635	0.218	0.538
7msq_80_3	0.503	0.573	1.199	1.152	7.391	0.856	0.304	0.664
7msq_6_0	0.481	0.585	0.828	0.991	8.449	0.702	0.250	0.530
7msq_80_4	0.490	0.527	0.767	0.624	7.938	0.681	0.226	0.547
7msq_33_3	0.366	0.519	0.985	1.171	3.838	0.559	0.223	0.449
7msq_18_1	0.361	0.526	0.785	1.042	7.999	0.759	0.262	0.565
7msq_13_2	0.409	0.543	0.550	1.207	7.603	0.839	0.247	0.582
7msq_39_1	0.507	0.585	0.608	0.975	8.115	0.739	0.203	0.509
7msq_63_0	0.361	0.498	0.849	0.880	9.082	0.842	0.357	0.676
7msq_37_0	0.426	0.528	0.762	1.005	7.477	0.699	0.215	0.511
7msq_97_2	0.304	0.427	1.128	0.912	7.827	0.756	0.314	0.604
7msq_75_0	0.503	0.577	0.627	0.892	7.821	0.723	0.188	0.531
7msq_28_2	0.454	0.461	1.125	0.934	9.632	0.808	0.325	0.592
7msq_66_2	0.503	0.535	0.811	0.930	7.829	0.679	0.242	0.541
7msq_54_0	0.495	0.546	1.214	0.897	8.274	0.838	0.242	0.609
7msq_98_4	0.484	0.553	0.811	1.046	3.973	0.716	0.228	0.517
7msq_65_4	0.361	0.505	1.169	1.077	5.854	0.610	0.224	0.409
7msq_33_2	0.503	0.628	0.699	1.283	7.100	0.904	0.302	0.544
7msq_98_3	0.398	0.507	1.140	1.666	5.697	0.747	0.240	0.508
7msq_65_3	0.507	0.653	0.923	0.988	3.921	0.655	0.255	0.496
7msq_80_2	0.382	0.509	0.743	0.804	6.373	0.576	0.226	0.430
7msq_6_1	0.381	0.642	0.610	0.804	7.998	0.689	0.233	0.495
7msq_34_1	0.554	0.560	0.542	0.870	8.730	0.673	0.224	0.518
7msq_50_2	0.475	0.540	0.578	0.821	5.693	0.741	0.243	0.556
7msq_62_0	0.504	0.563	1.081	1.001	6.981	0.801	0.362	0.604
7msq_52_4	0.342	0.587	1.677	1.021	3.995	0.723	0.280	0.513
7msq_52_3	0.512	0.538	1.194	0.857	5.333	0.665	0.205	0.471
7msq_46_2	0.432	0.484	1.116	0.909	10.482	0.609	0.231	0.482
7msq_65_0	0.474	0.570	1.246	0.803	7.795	0.609	0.212	0.506
7msq_98_0	0.529	0.611	1.574	0.956	5.915	0.619	0.224	0.474
7msq_80_1	0.356	0.597	1.302	1.471	7.296	0.688	0.308	0.487
7msq_6_2	0.492	0.563	0.581	0.729	7.752	0.744	0.236	0.567
7msq_33_1	0.496	0.573	0.917	0.952	7.807	0.684	0.206	0.539
7msq_50_1	0.365	0.503	1.027	0.907	7.084	0.657	0.217	0.495
7msq_62_3	0.504	0.566	1.101	0.754	8.591	0.789	0.314	0.617
7msq_62_4	0.343	0.493	0.531	1.639	7.458	0.775	0.315	0.566
7msq_34_2	0.538	0.609	0.657	1.706	7.588	0.825	0.304	0.577
7msq_52_0	0.518	0.571	1.607	1.139	8.222	0.728	0.215	0.533
7msq_46_1	0.518	0.527	1.208	1.184	9.820	0.809	0.336	0.612
7msq_13_1	0.486	0.558	0.615	0.907	5.807	0.814	0.220	0.605
7msq_39_2	0.364	0.473	0.529	0.681	7.606	0.738	0.234	0.567
7msq_18_2	0.484	0.621	0.647	0.926	8.008	0.655	0.249	0.478
7msq_63_3	0.483	0.525	1.121	0.733	8.833	0.602	0.250	0.539
7msq_63_4	0.331	0.436	1.036	1.792	5.542	0.602	0.239	0.581
7msq_37_4	0.502	0.601	0.774	1.038	7.378	0.907	0.310	0.599
7msq_37_3	0.510	0.596	1.049	0.845	7.577	0.738	0.220	0.504
7msq_97_1	0.504	0.519	1.192	1.032	7.350	0.637	0.265	0.528
7msq_75_4	0.479	0.592	0.572	1.142	8.054	0.685	0.243	0.490
7msq_66_1	0.532	0.608	0.499	1.072	7.442	0.538	0.239	0.457
7msq_54_3	0.380	0.497	1.090	1.374	7.146	0.574	0.206	0.471
7msq_54_4	0.475	0.616	0.534	1.082	8.008	0.776	0.236	0.535
7msq_75_3	0.528	0.568	1.196	0.846	6.823	0.677	0.237	0.504
7msq_28_1	0.488	0.504	1.029	0.736	6.320	0.797	0.276	0.627
7msq_46_0	0.350	0.451	0.624	0.905	4.625	0.814	0.359	0.657
7msq_52_1	0.445	0.521	1.517	0.912	4.853	0.646	0.281	0.504
7msq_34_3	0.540	0.580	1.045	0.959	7.405	0.679	0.202	0.512
7msq_50_0	0.492	0.535	0.681	0.809	7.426	0.589	0.187	0.565
7msq_62_2	0.381	0.509	1.076	1.246	5.520	0.710	0.340	0.536
7msq_34_4	0.521	0.627	1.100	0.744	7.679	0.678	0.230	0.510
7msq_6_4	0.489	0.507	0.953	0.777	7.528	0.722	0.223	0.553
7msq_33_0	0.505	0.508	0.826	0.893	6.834	0.740	0.222	0.554
7msq_98_1	0.533	0.566	1.547	1.220	5.488	0.827	0.281	0.631
7msq_65_1	0.478	0.532	1.158	0.940	4.473	0.724	0.212	0.559
7msq_80_0	0.502	0.555	0.745	0.852	7.085	0.668	0.212	0.554
7msq_6_3	0.566	0.688	0.919	1.028	7.444	0.730	0.217	0.486
7msq_75_2	0.508	0.555	0.802	0.764	7.848	0.642	0.229	0.505
7msq_28_0	0.375	0.431	1.038	0.872	7.056	0.751	0.248	0.567
7msq_66_0	0.489	0.578	1.164	0.787	6.875	0.656	0.171	0.494
7msq_54_2	0.498	0.642	0.662	1.145	7.747	0.710	0.220	0.500
7msq_37_2	0.535	0.597	0.897	0.862	7.459	0.654	0.241	0.501
7msq_97_0	0.512	0.531	0.830	0.855	5.811	0.643	0.299	0.547
7msq_63_2	0.488	0.508	0.919	1.099	4.147	0.606	0.279	0.531
7msq_39_4	0.360	0.520	0.937	0.921	7.109	0.540	0.213	0.461
7msq_18_3	0.498	0.511	0.580	0.767	7.168	0.809	0.243	0.621
7msq_13_0	0.516	0.581	0.827	0.858	8.206	0.804	0.246	0.613
7msq_18_4	0.499	0.623	0.986	1.181	7.420	0.653	0.203	0.470
7msq_39_3	0.383	0.531	0.665	0.824	6.839	0.611	0.216	0.469
7qny_97_0	0.398	0.776	0.675	1.963	5.401	1.094	0.509	1.146
7qny_37_2	0.349	0.550	0.596	1.920	6.166	0.384	0.215	0.587
7qny_54_2	0.393	0.671	0.689	1.890	4.867	0.751	0.277	0.774
7qny_66_0	0.387	0.747	0.787	1.892	6.305	0.707	0.349	0.683
7qny_28_0	0.350	0.716	0.862	1.896	3.321	0.675	0.279	0.760
7qny_75_2	0.350	0.634	0.728	1.911	5.334	0.654	0.214	0.728
7qny_18_4	0.375	0.657	0.652	1.905	5.910	0.614	0.193	0.808
7qny_13_0	0.367	0.648	0.728	1.846	5.839	0.615	0.346	0.995
7qny_39_3	0.354	0.684	0.742	1.872	5.465	0.812	0.385	0.685
7qny_39_4	0.404	0.616	0.659	1.859	6.025	0.422	0.255	0.584
7qny_18_3	0.380	0.863	1.064	1.872	5.468	0.963	0.382	0.933
7qny_63_2	0.327	0.597	0.574	1.945	6.028	0.622	0.220	0.576
7qny_52_1	0.353	0.642	0.724	1.894	5.262	0.786	0.468	0.972
7qny_6_0	0.348	0.715	0.786	1.911	5.698	0.844	0.374	0.836
7qny_46_0	0.343	0.525	0.658	1.899	4.467	0.273	0.290	0.501
7qny_65_1	0.345	0.570	0.698	1.921	3.056	0.545	0.274	0.658
7qny_98_1	0.357	0.669	0.687	1.882	5.433	0.786	0.313	0.796
7qny_80_0	0.351	0.663	0.663	1.918	5.353	0.753	0.426	0.633
7qny_33_0	0.340	0.673	0.808	1.890	3.030	0.540	0.237	0.656
7qny_34_4	0.325	0.642	0.699	1.870	4.729	0.574	0.232	0.617
7qny_62_2	0.371	0.722	0.739	1.884	5.204	0.717	0.323	0.839
7qny_50_0	0.351	0.636	0.652	1.921	5.097	0.694	0.347	0.525
7qny_34_3	0.375	0.612	0.715	1.888	5.178	0.465	0.209	0.356
7qny_63_4	0.399	0.745	0.783	1.940	3.104	0.876	0.408	0.527
7qny_63_3	0.342	0.600	0.766	1.877	4.538	0.522	0.378	0.678
7qny_18_2	0.373	0.701	0.720	1.884	6.001	0.588	0.339	0.973
7qny_13_1	0.376	0.703	0.697	1.925	4.941	0.791	0.264	0.600
7qny_39_2	0.344	0.597	0.694	1.875	5.350	0.492	0.203	0.573
7qny_54_4	0.494	0.668	0.764	1.864	2.985	0.690	0.289	0.746
7qny_28_1	0.330	0.585	0.618	1.906	4.917	0.634	0.289	0.503
7qny_75_3	0.386	0.696	0.743	1.879	4.848	0.880	0.338	0.729
7qny_75_4	0.336	0.725	0.736	1.911	3.120	0.872	0.374	0.736
7qny_54_3	0.333	0.604	0.694	1.912	2.765	0.567	0.289	0.565
7qny_66_1	0.362	0.642	0.625	1.917	5.986	0.624	0.300	0.691
7qny_97_1	0.363	0.713	0.768	1.874	5.158	0.722	0.298	0.579
7qny_37_3	0.318	0.634	0.689	1.916	5.023	0.740	0.346	0.863
7qny_37_4	0.369	0.662	0.926	1.835	4.908	0.537	0.313	0.483
7qny_34_2	0.352	0.737	0.792	1.888	5.247	0.806	0.344	0.683
7qny_62_4	0.368	0.692	0.859	1.876	6.150	0.655	0.440	0.706
7qny_62_3	0.368	0.650	0.830	1.856	5.928	0.454	0.332	1.031
7qny_50_1	0.505	0.730	0.812	1.870	4.963	0.913	0.326	0.960
7qny_33_1	0.348	0.598	0.781	1.861	5.569	0.449	0.266	0.747
7qny_98_0	0.484	0.558	0.708	1.871	6.082	0.515	0.195	1.181
7qny_65_0	0.357	0.606	0.720	1.884	4.435	0.457	0.213	0.501
7qny_80_1	0.406	0.827	0.960	1.991	5.741	1.119	0.576	0.865
7qny_46_1	0.495	0.578	0.634	1.924	5.339	0.299	0.297	0.966
7qny_52_0	0.396	0.831	0.960	1.939	5.893	1.069	0.298	0.601
7qny_6_1	0.351	0.653	0.737	1.887	5.451	0.698	0.392	0.696
7qny_62_0	0.352	0.661	0.737	1.877	5.482	0.791	0.417	0.807
7qny_50_2	0.372	0.731	0.704	1.906	5.625	0.926	0.358	0.673
7qny_34_1	0.320	0.576	0.817	1.906	5.301	0.459	0.380	0.638
7qny_65_3	0.460	0.657	0.718	1.890	5.517	0.673	0.278	0.850
7qny_98_3	0.343	0.623	0.816	1.856	6.170	0.423	0.297	0.549
7qny_80_2	0.367	0.743	0.794	1.890	5.868	0.801	0.382	0.998
7qny_33_2	0.318	0.669	0.763	1.915	3.177	0.798	0.361	0.772
7qny_65_4	0.339	0.545	0.633	1.896	6.319	0.359	0.266	0.460
7qny_98_4	0.366	0.692	0.804	1.929	5.968	0.732	0.493	1.037
7qny_46_2	0.385	0.732	0.776	1.896	5.519	1.003	0.389	0.809
7qny_6_2	0.375	0.778	0.846	1.909	6.182	0.962	0.519	1.073
7qny_52_3	0.372	0.684	0.721	1.861	6.613	0.797	0.369	0.799
7qny_52_4	0.343	0.666	0.588	1.885	5.851	0.691	0.278	0.613
7qny_63_0	0.345	0.721	0.862	1.871	5.284	0.918	0.252	0.616
7qny_13_2	0.343	0.651	0.840	1.854	5.007	0.708	0.304	0.632
7qny_39_1	0.348	0.555	0.824	1.957	6.012	0.415	0.352	0.454
7qny_18_1	0.439	0.723	0.815	1.881	5.297	0.780	0.367	0.631
7qny_54_0	0.464	0.612	0.830	1.856	6.300	0.593	0.234	0.773
7qny_66_2	0.353	0.610	0.645	1.885	5.508	0.574	0.407	0.856
7qny_28_2	0.406	0.655	0.808	1.885	5.668	0.554	0.363	0.461
7qny_75_0	0.368	0.695	0.884	1.883	5.245	0.896	0.468	0.814
7qny_97_2	0.340	0.688	0.670	1.949	4.989	0.905	0.212	0.727
7qny_37_0	0.334	0.653	0.705	1.941	4.679	0.715	0.253	0.722
7qny_6_4	0.356	0.666	0.906	1.901	5.219	0.694	0.362	0.558
7qny_6_3	0.354	0.571	0.650	1.945	5.126	0.391	0.376	0.466
7qny_52_2	0.387	0.657	0.713	1.893	4.225	0.670	0.410	0.490
7qny_46_3	0.414	0.758	0.758	1.901	7.033	0.766	0.267	0.743
7qny_46_4	0.355	0.692	0.766	1.865	6.170	0.957	0.236	0.753
7qny_80_4	0.350	0.806	0.903	1.922	5.545	1.112	0.600	1.072
7qny_33_3	0.398	0.856	1.047	1.886	4.874	0.814	0.280	0.802
7qny_33_4	0.404	0.579	0.595	1.863	5.207	0.596	0.368	0.598
7qny_98_2	0.354	0.596	0.777	1.905	5.305	0.560	0.392	0.414
7qny_65_2	0.375	0.584	0.648	1.867	5.348	0.439	0.405	0.560
7qny_80_3	0.329	0.647	0.693	1.905	4.904	0.731	0.356	1.045
7qny_34_0	0.321	0.629	0.678	1.916	4.373	0.658	0.216	0.647
7qny_50_4	0.339	0.724	0.850	1.937	2.959	1.068	0.502	0.706
7qny_62_1	0.343	0.633	0.805	1.905	4.748	0.690	0.233	0.511
7qny_50_3	0.339	0.601	0.535	1.883	5.103	0.535	0.215	0.601
7qny_97_3	0.393	0.740	0.921	1.865	5.250	0.603	0.273	0.655
7qny_37_1	0.412	0.854	0.918	1.931	5.693	0.944	0.444	0.788
7qny_97_4	0.374	0.667	0.801	1.844	4.705	0.459	0.415	0.706
7qny_66_4	0.353	0.553	0.675	1.919	5.135	0.513	0.317	0.412
7qny_28_3	0.346	0.698	0.811	1.903	5.036	0.741	0.343	0.745
7qny_75_1	0.358	0.726	0.736	1.879	2.892	0.793	0.319	0.543
7qny_28_4	0.367	0.722	0.886	1.915	2.374	0.818	0.191	0.516
7qny_54_1	0.446	0.593	0.623	1.851	5.207	0.468	0.244	0.953
7qny_66_3	0.345	0.632	0.806	1.876	4.719	0.370	0.335	0.692
7qny_18_0	0.334	0.626	0.775	1.893	5.822	0.553	0.275	0.638
7qny_13_4	0.317	0.557	0.636	1.909	6.047	0.521	0.217	0.663
7qny_13_3	0.343	0.662	0.709	1.867	4.378	0.677	0.261	0.773
7qny_39_0	0.400	0.640	0.769	1.892	5.226	0.533	0.250	0.676
7qny_63_1	0.336	0.686	0.620	1.902	4.812	0.808	0.291	0.763
7ps6_28_2	0.414	0.543	0.875	1.109	3.800	1.259	0.659	0.501
7ps6_75_0	0.349	0.530	0.699	0.999	3.716	1.288	0.711	0.553
7ps6_66_2	0.550	0.664	0.858	1.227	2.901	1.394	0.815	0.548
7ps6_54_0	0.544	0.584	0.653	0.937	3.834	1.319	0.647	0.474
7ps6_97_2	0.364	0.491	0.660	0.982	2.528	1.134	0.601	0.517
7ps6_37_0	0.431	0.515	0.791	0.985	4.005	1.203	0.635	0.546
7ps6_63_0	0.476	0.516	0.575	0.792	2.923	1.046	0.335	0.487
7ps6_18_1	0.380	0.501	0.732	1.101	5.026	1.109	0.548	0.476
7ps6_39_1	0.503	0.574	0.709	1.078	4.816	1.308	0.552	0.525
7ps6_13_2	0.537	0.573	0.662	0.861	3.282	1.240	0.504	0.512
7ps6_46_2	0.545	0.647	0.680	0.972	2.279	1.140	0.515	0.496
7ps6_52_4	0.483	0.661	0.709	0.785	5.060	1.255	0.614	0.498
7ps6_6_2	0.515	0.522	0.654	0.891	4.568	1.086	0.511	0.456
7ps6_52_3	0.419	0.504	0.689	1.027	2.824	1.227	0.580	0.528
7ps6_34_1	0.514	0.769	0.677	0.846	2.912	1.255	0.511	0.532
7ps6_50_2	0.467	0.540	0.455	0.624	2.848	1.074	0.274	0.501
7ps6_62_0	0.510	0.580	0.764	0.995	5.509	1.228	0.610	0.488
7ps6_33_2	0.470	0.583	0.810	1.023	4.170	1.274	0.690	0.536
7ps6_98_4	0.341	0.441	0.654	0.612	5.326	1.041	0.503	0.387
7ps6_65_4	0.425	0.514	0.700	1.016	3.661	1.198	0.622	0.501
7ps6_80_2	0.540	0.556	0.712	0.789	5.338	1.218	0.527	0.478
7ps6_98_3	0.417	0.539	0.847	1.083	4.445	1.344	0.644	0.540
7ps6_65_3	0.500	0.612	0.794	1.114	2.438	1.289	0.631	0.548
7ps6_39_0	0.480	0.579	1.018	0.871	2.851	1.250	0.549	0.489
7ps6_13_3	0.542	0.534	0.612	0.858	5.470	1.179	0.545	0.493
7ps6_13_4	0.497	0.570	0.739	1.130	4.202	1.280	0.612	0.527
7ps6_18_0	0.484	0.530	0.528	0.771	2.849	1.132	0.346	0.496
7ps6_63_1	0.522	0.540	0.836	0.686	2.664	0.975	0.269	0.449
7ps6_97_4	0.403	0.571	0.758	1.031	2.633	1.245	0.626	0.496
7ps6_97_3	0.403	0.512	0.697	0.907	4.267	1.357	0.702	0.494
7ps6_37_1	0.532	0.591	0.741	0.939	2.963	1.222	0.567	0.520
7ps6_66_3	0.405	0.601	0.860	1.085	2.313	1.392	0.729	0.581
7ps6_54_1	0.486	0.598	0.747	1.038	4.872	1.364	0.633	0.592
7ps6_28_4	0.534	0.543	0.812	1.067	5.699	1.172	0.593	0.544
7ps6_28_3	0.481	0.575	1.080	0.941	5.680	1.288	0.584	0.520
7ps6_75_1	0.460	0.552	1.307	0.751	4.061	1.282	0.536	0.595
7ps6_66_4	0.380	0.480	0.705	0.929	3.713	1.038	0.551	0.472
7ps6_80_3	0.417	0.462	0.684	0.738	2.902	1.184	0.492	0.463
7ps6_33_4	0.364	0.500	0.650	1.021	5.178	1.108	0.553	0.452
7ps6_65_2	0.494	0.590	0.774	0.935	3.064	1.272	0.654	0.560
7ps6_98_2	0.508	0.556	0.737	0.959	3.097	1.232	0.616	0.503
7ps6_33_3	0.491	0.575	0.679	1.023	3.847	1.304	0.654	0.528
7ps6_80_4	0.424	0.543	0.687	1.409	3.979	1.199	0.591	0.516
7ps6_50_3	0.489	0.565	0.528	0.674	2.820	1.079	0.332	0.480
7ps6_62_1	0.413	0.530	0.855	1.140	3.300	1.180	0.605	0.495
7ps6_34_0	0.498	0.548	0.534	0.765	3.045	1.166	0.338	0.485
7ps6_50_4	0.467	0.528	0.508	0.709	2.869	1.037	0.314	0.491
7ps6_52_2	0.419	0.500	0.689	0.895	2.762	1.236	0.569	0.543
7ps6_6_4	0.495	0.570	0.746	1.010	2.571	1.214	0.601	0.511
7ps6_6_3	0.495	0.626	0.682	0.892	3.056	1.267	0.603	0.537
7ps6_46_4	0.499	0.550	1.733	0.959	4.595	1.209	0.497	0.536
7ps6_46_3	0.484	0.553	0.647	0.958	3.099	1.315	0.583	0.544
7ps6_33_0	0.489	0.581	1.029	0.658	5.248	1.147	0.531	0.513
7ps6_80_0	0.502	0.524	0.655	0.845	2.541	1.090	0.476	0.510
7ps6_98_1	0.551	0.582	0.691	1.087	4.972	1.211	0.553	0.456
7ps6_65_1	0.530	0.532	0.665	0.693	5.353	1.127	0.468	0.494
7ps6_34_3	0.573	0.639	0.761	1.005	2.818	1.304	0.512	0.497
7ps6_34_4	0.466	0.566	0.597	0.856	2.849	1.269	0.504	0.547
7ps6_50_0	0.553	0.679	0.669	0.890	2.955	1.107	0.428	0.531
7ps6_62_2	0.517	0.507	0.730	0.558	6.016	1.158	0.567	0.541
7ps6_6_0	0.404	0.494	0.795	1.267	3.126	1.338	0.662	0.553
7ps6_52_1	0.405	0.615	0.689	0.842	3.978	1.190	0.515	0.498
7ps6_46_0	0.402	0.554	0.769	1.086	5.164	1.373	0.668	0.486
7ps6_18_3	0.489	0.540	0.701	0.874	2.796	0.985	0.324	0.411
7ps6_39_4	0.411	0.528	0.513	0.744	2.848	1.211	0.407	0.562
7ps6_39_3	0.352	0.478	0.520	0.675	2.705	1.053	0.354	0.457
7ps6_13_0	0.542	0.581	0.693	0.965	3.569	1.361	0.629	0.567
7ps6_18_4	0.405	0.510	0.544	0.811	2.729	1.101	0.348	0.548
7ps6_63_2	0.354	0.491	0.581	0.772	2.930	1.142	0.373	0.587
7ps6_97_0	0.532	0.515	0.542	0.364	5.932	0.974	0.336	0.393
7ps6_37_2	0.511	0.577	0.780	0.917	5.414	1.245	0.603	0.530
7ps6_28_0	0.579	0.674	0.805	1.037	2.565	1.449	0.705	0.522
7ps6_75_2	0.410	0.494	1.202	0.805	4.783	1.211	0.620	0.459
7ps6_66_0	0.485	0.493	0.643	0.628	5.837	1.104	0.477	0.479
7ps6_54_2	0.416	0.508	0.551	0.973	4.578	1.216	0.556	0.528
7ps6_46_1	0.469	0.546	0.860	1.033	4.385	1.221	0.675	0.585
7ps6_52_0	0.322	0.463	0.685	0.752	4.134	0.966	0.544	0.464
7ps6_6_1	0.551	0.588	0.793	1.045	4.575	1.335	0.672	0.601
7ps6_50_1	0.477	0.538	0.560	0.796	2.820	1.017	0.365	0.467
7ps6_62_3	0.411	0.532	0.865	1.021	5.265	1.302	0.725	0.576
7ps6_34_2	0.485	0.561	0.527	0.746	2.624	1.192	0.364	0.526
7ps6_62_4	0.475	0.640	0.805	1.131	4.943	1.505	0.767	0.578
7ps6_80_1	0.406	0.475	0.583	0.733	2.619	1.185	0.533	0.481
7ps6_65_0	0.432	0.536	1.136	1.150	2.247	1.279	0.625	0.521
7ps6_98_0	0.502	0.585	0.789	1.009	4.481	1.460	0.674	0.587
7ps6_33_1	0.504	0.564	0.716	0.979	3.332	1.223	0.653	0.510
7ps6_66_1	0.388	0.497	0.633	0.917	2.411	1.219	0.572	0.527
7ps6_54_3	0.356	0.462	0.676	0.860	3.024	1.125	0.613	0.480
7ps6_75_4	0.476	0.564	0.758	1.028	3.563	1.379	0.653	0.585
7ps6_28_1	0.521	0.644	0.717	0.907	4.465	1.149	0.508	0.535
7ps6_75_3	0.499	0.517	0.675	0.792	5.039	1.134	0.568	0.434
7ps6_54_4	0.418	0.522	0.669	0.834	4.536	1.173	0.542	0.484
7ps6_37_4	0.401	0.535	0.833	1.077	2.641	1.234	0.592	0.540
7ps6_97_1	0.479	0.514	0.605	0.726	5.476	1.186	0.562	0.477
7ps6_37_3	0.511	0.580	0.660	1.031	4.157	1.207	0.596	0.523
7ps6_63_3	0.525	0.557	0.689	0.909	2.871	1.126	0.386	0.461
7ps6_63_4	0.400	0.423	0.512	0.735	2.933	1.059	0.274	0.484
7ps6_39_2	0.446	0.548	0.639	0.910	2.848	1.190	0.488	0.507
7ps6_13_1	0.421	0.571	0.715	0.875	4.779	1.477	0.695	0.644
7ps6_18_2	0.474	0.552	0.534	0.724	2.873	1.013	0.331	0.508
7phw_13_0	0.430	0.462	0.313	0.270	0.332	0.486	0.301	0.916
7phw_18_4	0.428	0.536	0.410	0.336	0.384	0.471	0.425	0.854
7phw_39_3	0.430	0.434	0.344	0.343	0.369	0.346	0.304	0.938
7phw_39_4	0.407	0.443	0.338	0.299	0.384	0.416	0.312	0.811
7phw_18_3	0.376	0.421	0.371	0.281	0.363	0.400	0.354	0.748
7phw_63_2	0.450	0.442	0.349	0.359	0.399	0.354	0.257	1.033
7phw_97_0	0.383	0.423	0.356	0.270	0.367	0.299	0.282	0.768
7phw_37_2	0.473	0.471	0.331	0.288	0.441	0.397	0.330	1.040
7phw_6_1	0.417	0.496	0.484	0.384	0.382	0.557	0.464	0.921
7phw_66_0	0.373	0.488	0.403	0.295	0.376	0.416	0.358	0.521
7phw_54_2	1.225	0.636	0.795	0.737	5.324	0.845	0.840	3.858
7phw_28_0	0.693	0.589	0.335	0.240	0.358	0.545	0.339	1.890
7phw_75_2	0.396	0.446	0.392	0.276	0.425	0.337	0.323	0.806
7phw_98_1	0.428	0.441	0.318	0.322	0.367	0.445	0.360	0.887
7phw_65_1	0.417	0.452	0.310	0.270	0.419	0.350	0.323	0.813
7phw_80_0	0.444	0.462	0.408	0.468	0.403	0.469	0.369	1.074
7phw_33_0	1.230	0.613	0.514	0.530	5.587	0.790	0.749	3.982
7phw_34_4	0.450	0.492	0.352	0.326	0.394	0.399	0.397	0.913
7phw_50_0	0.422	0.595	0.324	0.315	0.334	0.431	0.328	0.887
7phw_62_2	0.367	0.468	0.394	0.331	0.419	0.475	0.363	0.695
7phw_34_3	0.406	0.445	0.417	0.233	0.379	0.363	0.286	0.892
7phw_52_1	0.411	0.432	0.301	0.277	0.365	0.363	0.284	0.871
7phw_46_0	0.573	0.672	0.646	0.531	1.951	1.278	0.492	1.533
7phw_54_4	1.299	0.777	1.166	0.991	3.537	1.348	0.924	4.142
7phw_28_1	0.404	0.414	0.285	0.266	0.340	0.398	0.242	0.802
7phw_75_3	0.434	0.437	0.349	0.261	0.385	0.298	0.353	0.938
7phw_6_0	0.458	0.442	0.415	0.403	0.395	0.537	0.403	1.029
7phw_75_4	0.456	0.492	0.402	0.338	0.412	0.437	0.436	1.013
7phw_66_1	0.428	0.533	0.349	0.305	0.456	0.560	0.386	0.737
