model	plddt_full	plddt_h1	plddt_h2	plddt_h3	plddt_l1	plddt_l2	plddt_l3	pdb
7msq_unrelaxed_rank_025_alphafold2_multimer_v3_model_3_seed_004	93.828	88.709	88.936	75.036	93.79	92.56	92.303	7msq
7msq_unrelaxed_rank_006_alphafold2_multimer_v3_model_4_seed_004	94.253	91.479	90.803	72.146	93.752	92.79	93.898	7msq
7msq_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_001	93.704	91.007	90.759	68.501	93.803	92.77	92.397	7msq
7msq_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_003	93.732	90.547	89.767	67.784	93.635	92.623	92.284	7msq
7msq_unrelaxed_rank_017_alphafold2_multimer_v3_model_3_seed_002	94.011	89.173	88.867	71.607	93.563	93.313	94.188	7msq
7msq_unrelaxed_rank_023_alphafold2_multimer_v3_model_5_seed_000	93.572	87.954	87.089	71.329	92.875	91.583	91.216	7msq
7msq_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_001	94.151	91.217	90.896	70.862	93.958	93.143	94.194	7msq
7msq_unrelaxed_rank_007_alphafold2_multimer_v3_model_1_seed_004	93.674	89.624	89.474	69.13	93.387	92.02	92.069	7msq
7msq_unrelaxed_rank_012_alphafold2_multimer_v3_model_5_seed_002	93.357	87.82	87.457	65.976	93.043	92.187	92.167	7msq
7msq_unrelaxed_rank_010_alphafold2_multimer_v3_model_1_seed_000	94.051	91.158	90.91	72.276	94.105	93.25	92.194	7msq
7msq_unrelaxed_rank_018_alphafold2_multimer_v3_model_3_seed_001	94.127	88.71	88.946	73.883	94.458	93.98	94.772	7msq
7mzf_unrelaxed_rank_014_alphafold2_multimer_v3_model_5_seed_004	95.357	92.079	92.67	87.938	95.248	96.813	86.514	7mzf
7mzf_unrelaxed_rank_020_alphafold2_multimer_v3_model_5_seed_002	94.769	90.564	92.044	83.937	95.877	96.543	87.553	7mzf
7mzf_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_002	96.106	93.259	94.036	93.666	97.282	98.207	91.342	7mzf
7mzf_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_000	95.489	92.515	93.34	90.933	95.51	97.333	86.291	7mzf
7mzf_unrelaxed_rank_009_alphafold2_multimer_v3_model_4_seed_004	95.426	91.251	92.786	91.347	95.647	97.377	85.841	7mzf
7mzf_unrelaxed_rank_025_alphafold2_multimer_v3_model_4_seed_002	87.603	79.463	85.636	59.263	90.145	91.77	68.038	7mzf
7mzf_unrelaxed_rank_011_alphafold2_multimer_v3_model_2_seed_003	95.177	92.268	94.106	91.675	96.25	97.71	87.951	7mzf
7mzf_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_001	95.901	91.508	93.169	91.534	97.44	97.917	92.138	7mzf
7mzf_unrelaxed_rank_012_alphafold2_multimer_v3_model_5_seed_001	95.519	91.561	92.564	86.551	96.522	97.167	89.478	7mzf
7mzf_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_000	94.579	87.517	91.536	85.614	95.447	96.333	87.763	7mzf
7mzf_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_004	95.993	92.749	93.527	92.978	96.917	98.04	90.389	7mzf
7mzf_unrelaxed_rank_017_alphafold2_multimer_v3_model_5_seed_000	95.313	90.835	92.087	86.057	96.405	96.893	89.11	7mzf
7mzf_unrelaxed_rank_018_alphafold2_multimer_v3_model_2_seed_000	94.415	86.455	92.811	89.079	96.418	97.417	88.923	7mzf
7mzf_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_002	94.779	90.876	92.27	84.995	95.853	96.48	88.033	7mzf
7mzf_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_003	95.013	90.275	92.313	87.339	95.562	96.75	88.124	7mzf
7mzf_unrelaxed_rank_015_alphafold2_multimer_v3_model_5_seed_003	95.345	91.648	92.687	88.488	95.75	97.083	87.966	7mzf
7mzf_unrelaxed_rank_007_alphafold2_multimer_v3_model_4_seed_000	95.712	90.392	92.939	91.709	97.343	97.897	91.478	7mzf
7mzf_unrelaxed_rank_010_alphafold2_multimer_v3_model_2_seed_004	95.151	89.945	93.554	92.09	96.552	97.893	88.95	7mzf
7mzf_unrelaxed_rank_008_alphafold2_multimer_v3_model_4_seed_003	95.205	85.515	92.33	91.791	97.488	98.04	92.131	7mzf
7mzf_unrelaxed_rank_006_alphafold2_multimer_v3_model_1_seed_001	95.451	93.335	93.607	90.648	95.843	97.437	87.624	7mzf
7mzf_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_003	95.577	92.573	93.456	92.005	95.603	97.523	86.444	7mzf
7mzf_unrelaxed_rank_022_alphafold2_multimer_v3_model_3_seed_004	94.894	91.303	92.616	87.272	94.187	96.23	85.417	7mzf
7mzf_unrelaxed_rank_016_alphafold2_multimer_v3_model_2_seed_001	94.752	90.149	93.386	90.245	95.352	97.267	85.894	7mzf
7mzf_unrelaxed_rank_019_alphafold2_multimer_v3_model_3_seed_001	95.098	92.134	92.796	87.357	95.625	96.833	88.09	7mzf
7mzf_unrelaxed_rank_013_alphafold2_multimer_v3_model_2_seed_002	94.851	90.688	93.713	90.689	95.648	97.46	86.209	7mzf
7mzg_unrelaxed_rank_004_alphafold2_multimer_v3_model_5_seed_002	95.546	94.735	92.859	85.046	94.855	96.02	80.091	7mzg
7mzg_unrelaxed_rank_022_alphafold2_multimer_v3_model_2_seed_000	94.686	94.085	91.59	83.121	93.522	95.04	75.043	7mzg
7mzg_unrelaxed_rank_016_alphafold2_multimer_v3_model_3_seed_001	95.032	93.929	91.946	82.523	93.595	94.667	79.145	7mzg
7mzg_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000	95.491	94.9	92.981	86.704	95.137	96.98	77.95	7mzg
7mzg_unrelaxed_rank_013_alphafold2_multimer_v3_model_5_seed_000	95.286	94.336	92.653	82.777	94.217	95.667	78.895	7mzg
7mzg_unrelaxed_rank_019_alphafold2_multimer_v3_model_3_seed_002	95.122	94.267	92.081	82.481	93.855	94.81	79.289	7mzg
7mzg_unrelaxed_rank_011_alphafold2_multimer_v3_model_1_seed_003	94.644	93.875	91.694	83.675	93.03	95.083	73.815	7mzg
7mzg_unrelaxed_rank_024_alphafold2_multimer_v3_model_4_seed_002	89.782	89.009	89.143	59.805	89.605	90.627	64.895	7mzg
7mzg_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_000	94.851	93.72	91.706	82.034	93.313	94.543	77.415	7mzg
7mzg_unrelaxed_rank_015_alphafold2_multimer_v3_model_3_seed_004	95.199	94.118	92.867	82.968	93.272	94.69	79.766	7mzg
7mzg_unrelaxed_rank_008_alphafold2_multimer_v3_model_5_seed_001	95.517	94.57	92.804	84.85	94.812	95.917	80.549	7mzg
7mzg_unrelaxed_rank_012_alphafold2_multimer_v3_model_1_seed_004	94.745	94.023	91.75	84.659	92.447	94.977	73.235	7mzg
7mzg_unrelaxed_rank_018_alphafold2_multimer_v3_model_5_seed_004	95.175	94.185	92.551	81.185	94.177	94.94	79.469	7mzg
7mzg_unrelaxed_rank_017_alphafold2_multimer_v3_model_5_seed_003	95.376	94.625	92.507	84.643	94.01	95.563	79.018	7mzg
7mzg_unrelaxed_rank_010_alphafold2_multimer_v3_model_1_seed_000	94.495	93.539	91.311	81.789	92.417	94.437	73.878	7mzg
7mzg_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_003	95.318	94.79	92.919	85.176	94.363	96.063	78.303	7mzg
7mzg_unrelaxed_rank_023_alphafold2_multimer_v3_model_2_seed_003	94.819	93.906	91.82	83.963	93.585	95.27	78.046	7mzg
7mzg_unrelaxed_rank_007_alphafold2_multimer_v3_model_1_seed_001	94.79	94.118	92.143	83.04	93.405	95.147	74.724	7mzg
7mzg_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_002	94.767	94.1	91.67	81.99	93.345	95.19	74.219	7mzg
7mzg_unrelaxed_rank_014_alphafold2_multimer_v3_model_3_seed_003	95.212	94.524	92.784	83.688	94.012	95.147	79.034	7mzg
7mzg_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_001	95.561	95.291	92.983	89.618	94.988	97.167	78.252	7mzg
7mzg_unrelaxed_rank_006_alphafold2_multimer_v3_model_4_seed_004	95.37	94.374	92.546	84.835	94.937	96.353	79.415	7mzg
7mzg_unrelaxed_rank_020_alphafold2_multimer_v3_model_2_seed_004	95.139	94.265	92.323	86.669	93.8	96.02	78.037	7mzg
7mzg_unrelaxed_rank_025_alphafold2_multimer_v3_model_4_seed_001	87.664	88.336	89.509	56.037	89.083	89.98	60.865	7mzg
7mzg_unrelaxed_rank_009_alphafold2_multimer_v3_model_2_seed_002	95.664	95.297	93.794	88.505	95.0	96.873	80.659	7mzg
7mzh_unrelaxed_rank_017_alphafold2_multimer_v3_model_4_seed_000	96.663	97.391	97.775	90.786	95.378	97.29	92.733	7mzh
7mzh_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_002	97.102	97.561	97.984	91.999	97.149	97.83	94.888	7mzh
7mzh_unrelaxed_rank_012_alphafold2_multimer_v3_model_4_seed_001	96.723	97.235	97.705	89.561	97.025	97.523	94.07	7mzh
7mzh_unrelaxed_rank_023_alphafold2_multimer_v3_model_2_seed_003	96.245	96.713	97.554	88.427	96.383	96.897	92.978	7mzh
7mzh_unrelaxed_rank_007_alphafold2_multimer_v3_model_1_seed_003	96.964	97.367	97.915	91.391	97.257	97.627	94.777	7mzh
7mzh_unrelaxed_rank_018_alphafold2_multimer_v3_model_3_seed_004	96.75	97.22	97.243	91.91	97.539	97.687	94.522	7mzh
7mzh_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_002	97.031	97.783	98.07	91.784	97.188	97.917	94.706	7mzh
7mzh_unrelaxed_rank_009_alphafold2_multimer_v3_model_5_seed_003	97.044	97.688	97.892	93.534	97.275	97.813	94.63	7mzh
7mzh_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_004	97.122	97.576	98.101	91.866	97.274	97.667	95.273	7mzh
7mzh_unrelaxed_rank_011_alphafold2_multimer_v3_model_5_seed_004	96.958	97.616	97.828	93.221	97.015	97.813	94.035	7mzh
7mzh_unrelaxed_rank_014_alphafold2_multimer_v3_model_2_seed_004	96.6	97.438	97.936	90.5	97.0	97.187	93.608	7mzh
7mzh_unrelaxed_rank_025_alphafold2_multimer_v3_model_2_seed_000	96.093	96.851	97.547	88.624	95.812	96.58	92.103	7mzh
7mzh_unrelaxed_rank_020_alphafold2_multimer_v3_model_2_seed_002	96.34	96.859	97.547	89.304	96.562	97.043	92.874	7mzh
7mzh_unrelaxed_rank_004_alphafold2_multimer_v3_model_3_seed_000	97.175	97.821	97.985	93.053	98.024	98.19	96.655	7mzh
7mzh_unrelaxed_rank_016_alphafold2_multimer_v3_model_3_seed_003	96.879	97.351	97.421	93.107	97.585	97.77	94.796	7mzh
7mzh_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_001	97.0	97.562	98.055	91.367	97.205	97.623	94.859	7mzh
7mzh_unrelaxed_rank_019_alphafold2_multimer_v3_model_4_seed_004	96.724	97.382	97.753	91.26	97.03	97.563	93.182	7mzh
7mzh_unrelaxed_rank_022_alphafold2_multimer_v3_model_2_seed_001	96.275	96.868	97.836	85.859	97.312	97.52	94.568	7mzh
7mzh_unrelaxed_rank_006_alphafold2_multimer_v3_model_1_seed_000	96.88	97.329	97.85	91.089	96.494	97.48	94.684	7mzh
7mzh_unrelaxed_rank_013_alphafold2_multimer_v3_model_4_seed_003	96.871	97.508	97.868	91.383	97.344	97.793	93.734	7mzh
7mzh_unrelaxed_rank_015_alphafold2_multimer_v3_model_3_seed_002	96.846	97.555	97.244	94.144	97.57	97.853	94.597	7mzh
7mzh_unrelaxed_rank_021_alphafold2_multimer_v3_model_5_seed_001	96.386	96.711	97.625	87.867	97.18	97.79	94.585	7mzh
7mzh_unrelaxed_rank_010_alphafold2_multimer_v3_model_5_seed_000	97.008	97.744	97.893	93.634	96.859	97.667	94.408	7mzh
7mzh_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_001	96.333	96.376	97.266	87.731	97.599	97.667	95.04	7mzh
7mzh_unrelaxed_rank_008_alphafold2_multimer_v3_model_5_seed_002	96.934	97.585	97.728	92.179	97.095	97.707	94.235	7mzh
7mzi_unrelaxed_rank_008_alphafold2_multimer_v3_model_4_seed_001	97.327	98.195	98.08	96.293	96.923	98.457	92.904	7mzi
7mzi_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_003	97.438	98.034	97.892	96.381	96.789	98.52	94.125	7mzi
7mzi_unrelaxed_rank_010_alphafold2_multimer_v3_model_4_seed_000	96.814	98.204	97.875	96.192	92.464	98.0	88.801	7mzi
7mzi_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_002	96.833	97.688	97.422	95.224	96.053	98.103	91.121	7mzi
7mzi_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_000	96.594	97.625	97.328	94.995	95.931	98.043	90.807	7mzi
7mzi_unrelaxed_rank_007_alphafold2_multimer_v3_model_4_seed_002	97.545	98.233	98.256	96.377	97.243	98.457	94.147	7mzi
7mzi_unrelaxed_rank_015_alphafold2_multimer_v3_model_5_seed_000	96.842	97.954	97.827	95.832	91.469	97.917	91.592	7mzi
7mzi_unrelaxed_rank_013_alphafold2_multimer_v3_model_5_seed_001	97.207	97.81	97.711	95.369	96.382	98.233	92.63	7mzi
7mzi_unrelaxed_rank_016_alphafold2_multimer_v3_model_2_seed_000	96.973	97.665	97.853	95.642	96.585	98.273	93.595	7mzi
7mzi_unrelaxed_rank_019_alphafold2_multimer_v3_model_2_seed_002	96.929	97.641	97.773	95.244	95.844	98.127	92.694	7mzi
7mzi_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_001	97.499	98.032	97.946	96.418	97.368	98.607	94.675	7mzi
7mzi_unrelaxed_rank_022_alphafold2_multimer_v3_model_2_seed_003	96.494	97.436	97.329	94.712	94.312	97.897	89.842	7mzi
7mzi_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_004	97.549	98.126	98.017	96.694	97.295	98.627	94.966	7mzi
7mzi_unrelaxed_rank_025_alphafold2_multimer_v3_model_3_seed_003	96.65	97.57	97.32	94.994	95.828	97.957	91.194	7mzi
7mzi_unrelaxed_rank_014_alphafold2_multimer_v3_model_5_seed_003	96.985	97.876	97.782	95.632	92.462	98.0	92.288	7mzi
7mzi_unrelaxed_rank_006_alphafold2_multimer_v3_model_4_seed_004	97.482	98.303	98.263	96.633	96.961	98.477	93.858	7mzi
7mzi_unrelaxed_rank_011_alphafold2_multimer_v3_model_5_seed_004	97.292	98.055	97.976	96.18	95.275	98.293	93.632	7mzi
7mzi_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_000	97.46	98.056	97.946	96.514	97.046	98.54	94.578	7mzi
7mzi_unrelaxed_rank_009_alphafold2_multimer_v3_model_4_seed_003	97.005	98.156	98.058	96.218	92.686	98.083	91.096	7mzi
7mzi_unrelaxed_rank_020_alphafold2_multimer_v3_model_3_seed_004	96.878	97.804	97.548	95.675	96.001	98.17	91.216	7mzi
7mzi_unrelaxed_rank_018_alphafold2_multimer_v3_model_2_seed_001	96.961	97.579	97.781	95.025	96.822	98.253	93.244	7mzi
7mzi_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_002	97.556	98.111	98.07	96.675	97.14	98.607	95.005	7mzi
7mzi_unrelaxed_rank_017_alphafold2_multimer_v3_model_2_seed_004	96.739	97.719	97.734	95.58	93.461	98.017	91.255	7mzi
7mzi_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_001	96.659	97.524	97.164	94.911	96.0	97.997	90.064	7mzi
7mzi_unrelaxed_rank_012_alphafold2_multimer_v3_model_5_seed_002	97.006	97.909	97.884	95.512	91.999	97.937	92.079	7mzi
7mzj_unrelaxed_rank_017_alphafold2_multimer_v3_model_2_seed_003	94.145	91.046	91.813	73.628	95.335	95.02	84.05	7mzj
7mzj_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_000	94.506	92.202	92.081	72.321	95.523	95.123	86.598	7mzj
7mzj_unrelaxed_rank_018_alphafold2_multimer_v3_model_2_seed_004	94.08	90.764	92.019	71.704	95.115	94.187	86.43	7mzj
7mzj_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_004	94.607	92.25	92.768	73.562	95.79	95.293	85.6	7mzj
7mzj_unrelaxed_rank_023_alphafold2_multimer_v3_model_2_seed_000	93.725	91.984	92.0	72.224	92.905	93.81	80.476	7mzj
7mzj_unrelaxed_rank_012_alphafold2_multimer_v3_model_4_seed_003	94.022	90.759	90.779	70.077	94.875	94.587	84.649	7mzj
7mzj_unrelaxed_rank_025_alphafold2_multimer_v3_model_2_seed_001	92.005	89.321	92.613	59.822	92.373	91.393	79.807	7mzj
7mzj_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_002	93.904	90.4	89.005	71.232	94.802	95.147	82.812	7mzj
7mzj_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_003	94.87	91.696	90.856	76.516	96.52	96.46	86.932	7mzj
7mzj_unrelaxed_rank_020_alphafold2_multimer_v3_model_3_seed_003	94.746	92.181	91.689	79.876	94.377	95.73	82.599	7mzj
7mzj_unrelaxed_rank_006_alphafold2_multimer_v3_model_5_seed_004	94.278	90.891	90.513	69.437	95.427	95.083	86.751	7mzj
7mzj_unrelaxed_rank_011_alphafold2_multimer_v3_model_5_seed_003	93.959	90.555	90.381	69.018	94.948	94.623	84.23	7mzj
7mzj_unrelaxed_rank_009_alphafold2_multimer_v3_model_3_seed_004	94.76	92.579	92.494	77.19	94.637	94.48	85.382	7mzj
7mzj_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_001	95.357	93.494	93.838	81.115	96.395	96.54	85.852	7mzj
7mzj_unrelaxed_rank_019_alphafold2_multimer_v3_model_3_seed_001	94.793	92.195	92.282	79.212	94.73	95.563	83.961	7mzj
7mzj_unrelaxed_rank_013_alphafold2_multimer_v3_model_5_seed_001	94.211	91.008	90.805	69.293	95.447	95.04	86.449	7mzj
7mzj_unrelaxed_rank_022_alphafold2_multimer_v3_model_4_seed_002	93.911	91.451	90.919	73.966	94.168	94.437	81.199	7mzj
7mzj_unrelaxed_rank_016_alphafold2_multimer_v3_model_4_seed_004	93.947	91.057	91.148	71.222	94.718	94.727	82.4	7mzj
7mzj_unrelaxed_rank_014_alphafold2_multimer_v3_model_1_seed_000	92.979	90.618	92.288	61.695	93.405	92.727	82.075	7mzj
7mzj_unrelaxed_rank_010_alphafold2_multimer_v3_model_5_seed_002	94.965	91.133	90.522	78.065	96.415	96.23	87.013	7mzj
7mzj_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_002	93.999	90.5	91.113	73.084	94.342	94.583	83.324	7mzj
7mzj_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_000	93.984	90.736	91.074	71.188	94.438	94.163	84.064	7mzj
7mzj_unrelaxed_rank_015_alphafold2_multimer_v3_model_2_seed_002	94.13	90.892	91.656	71.865	95.77	95.21	85.781	7mzj
7mzj_unrelaxed_rank_007_alphafold2_multimer_v3_model_5_seed_000	94.207	91.205	90.699	69.459	95.178	94.98	85.532	7mzj
7mzj_unrelaxed_rank_008_alphafold2_multimer_v3_model_4_seed_001	94.219	91.344	90.731	72.656	95.177	95.25	84.063	7mzj
7mzk_unrelaxed_rank_010_alphafold2_multimer_v3_model_5_seed_002	95.913	96.11	94.75	83.025	93.244	96.333	93.069	7mzk
7mzk_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_003	92.675	93.556	91.499	71.966	88.438	94.73	81.299	7mzk
7mzk_unrelaxed_rank_015_alphafold2_multimer_v3_model_5_seed_001	95.672	95.314	94.165	80.769	92.74	96.103	92.841	7mzk
7mzk_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_002	96.237	96.227	91.274	86.5	94.067	96.837	93.681	7mzk
7mzk_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_004	95.936	96.188	94.875	83.077	92.907	95.937	93.103	7mzk
7mzk_unrelaxed_rank_021_alphafold2_multimer_v3_model_5_seed_003	95.646	95.139	93.969	81.842	92.444	96.04	93.014	7mzk
7mzk_unrelaxed_rank_004_alphafold2_multimer_v3_model_2_seed_002	96.106	96.438	95.585	84.033	93.37	96.683	92.992	7mzk
7mzk_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000	96.009	96.025	95.211	82.894	94.111	96.503	93.451	7mzk
7mzk_unrelaxed_rank_022_alphafold2_multimer_v3_model_2_seed_001	94.825	92.78	82.664	81.969	92.595	96.023	92.278	7mzk
7mzk_unrelaxed_rank_016_alphafold2_multimer_v3_model_2_seed_004	95.023	93.134	85.359	80.821	93.0	95.873	92.661	7mzk
7mzk_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000	96.008	96.226	94.921	83.798	93.333	96.313	93.464	7mzk
7mzk_unrelaxed_rank_013_alphafold2_multimer_v3_model_4_seed_001	95.689	95.422	93.811	81.096	92.908	95.98	92.964	7mzk
7mzk_unrelaxed_rank_019_alphafold2_multimer_v3_model_3_seed_002	95.144	92.451	81.842	83.087	93.807	96.583	93.646	7mzk
7mzk_unrelaxed_rank_011_alphafold2_multimer_v3_model_1_seed_003	95.863	96.236	94.891	83.642	91.969	95.96	92.466	7mzk
7mzk_unrelaxed_rank_009_alphafold2_multimer_v3_model_4_seed_000	95.996	96.436	95.134	83.347	93.203	96.04	93.619	7mzk
7mzk_unrelaxed_rank_020_alphafold2_multimer_v3_model_4_seed_004	94.714	91.939	83.97	78.248	91.375	95.207	92.847	7mzk
7mzk_unrelaxed_rank_006_alphafold2_multimer_v3_model_2_seed_003	96.181	96.579	95.75	85.415	93.125	96.627	93.139	7mzk
7mzk_unrelaxed_rank_014_alphafold2_multimer_v3_model_5_seed_000	95.77	95.906	94.704	82.377	93.072	96.187	93.029	7mzk
7mzk_unrelaxed_rank_025_alphafold2_multimer_v3_model_4_seed_003	91.794	93.735	92.359	68.662	85.928	93.167	78.796	7mzk
7mzk_unrelaxed_rank_023_alphafold2_multimer_v3_model_5_seed_004	94.456	90.836	82.625	76.317	91.953	95.21	92.506	7mzk
7mzk_unrelaxed_rank_008_alphafold2_multimer_v3_model_1_seed_001	96.332	96.578	95.182	86.962	93.042	96.83	93.582	7mzk
7mzk_unrelaxed_rank_012_alphafold2_multimer_v3_model_3_seed_004	95.731	94.908	87.633	85.496	93.739	96.917	93.638	7mzk
7mzk_unrelaxed_rank_018_alphafold2_multimer_v3_model_3_seed_000	95.706	94.984	92.976	82.445	93.135	96.437	93.423	7mzk
7mzk_unrelaxed_rank_007_alphafold2_multimer_v3_model_1_seed_002	96.016	96.554	95.173	84.441	92.526	96.02	93.187	7mzk
7mzk_unrelaxed_rank_017_alphafold2_multimer_v3_model_3_seed_001	95.408	94.336	86.022	83.007	93.135	96.377	93.187	7mzk
7n4i_unrelaxed_rank_012_alphafold2_multimer_v3_model_2_seed_001	97.272	97.196	97.539	94.388	98.405	98.353	95.898	7n4i
7n4i_unrelaxed_rank_018_alphafold2_multimer_v3_model_5_seed_004	97.162	96.319	96.603	91.464	98.323	97.957	96.708	7n4i
7n4i_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_002	97.409	97.251	97.366	93.469	98.437	98.29	96.106	7n4i
7n4i_unrelaxed_rank_023_alphafold2_multimer_v3_model_4_seed_004	97.017	96.289	96.327	91.049	98.272	97.937	96.007	7n4i
7n4i_unrelaxed_rank_017_alphafold2_multimer_v3_model_3_seed_003	97.473	97.329	97.588	95.144	98.5	98.417	96.787	7n4i
7n4i_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_003	96.825	95.827	95.882	89.853	98.062	97.667	95.154	7n4i
7n4i_unrelaxed_rank_011_alphafold2_multimer_v3_model_4_seed_000	97.263	96.991	97.063	92.432	98.373	98.08	96.332	7n4i
7n4i_unrelaxed_rank_009_alphafold2_multimer_v3_model_4_seed_001	97.337	97.086	97.195	93.179	98.365	98.23	95.94	7n4i
7n4i_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000	97.75	98.095	98.046	96.803	98.657	98.623	96.599	7n4i
7n4i_unrelaxed_rank_020_alphafold2_multimer_v3_model_5_seed_000	96.986	97.616	97.64	88.531	97.282	97.143	94.209	7n4i
7n4i_unrelaxed_rank_014_alphafold2_multimer_v3_model_3_seed_001	97.074	95.984	96.366	90.826	98.032	97.667	96.143	7n4i
7n4i_unrelaxed_rank_025_alphafold2_multimer_v3_model_2_seed_003	96.662	95.905	96.249	89.964	98.032	97.627	94.91	7n4i
7n4i_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_004	96.872	95.884	95.898	90.92	98.185	97.873	95.418	7n4i
7n4i_unrelaxed_rank_013_alphafold2_multimer_v3_model_4_seed_003	97.121	96.573	96.68	91.504	98.282	97.957	96.207	7n4i
7n4i_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_002	97.049	96.451	96.603	92.889	98.25	98.083	95.167	7n4i
7n4i_unrelaxed_rank_006_alphafold2_multimer_v3_model_1_seed_001	96.921	96.118	96.226	91.74	98.165	97.913	95.104	7n4i
7n4i_unrelaxed_rank_019_alphafold2_multimer_v3_model_3_seed_004	97.254	96.727	96.962	93.305	98.332	98.167	96.722	7n4i
7n4i_unrelaxed_rank_022_alphafold2_multimer_v3_model_5_seed_003	96.76	97.275	97.344	87.317	96.895	96.897	93.693	7n4i
7n4i_unrelaxed_rank_016_alphafold2_multimer_v3_model_2_seed_004	97.089	96.641	96.938	92.821	98.335	98.123	96.041	7n4i
7n4i_unrelaxed_rank_010_alphafold2_multimer_v3_model_2_seed_000	97.215	96.994	97.264	93.258	98.355	98.167	95.921	7n4i
7n4i_unrelaxed_rank_024_alphafold2_multimer_v3_model_5_seed_002	96.658	97.132	97.225	87.009	96.988	97.083	93.237	7n4i
7n4i_unrelaxed_rank_007_alphafold2_multimer_v3_model_2_seed_002	97.28	97.266	97.477	94.398	98.415	98.333	95.603	7n4i
7n4i_unrelaxed_rank_008_alphafold2_multimer_v3_model_3_seed_002	97.303	96.485	96.828	92.961	98.29	98.02	96.674	7n4i
7n4i_unrelaxed_rank_015_alphafold2_multimer_v3_model_3_seed_000	97.229	96.225	96.686	91.853	98.227	97.917	96.631	7n4i
7n4i_unrelaxed_rank_021_alphafold2_multimer_v3_model_5_seed_001	96.48	96.719	96.812	85.264	96.698	96.73	92.657	7n4i
7n4j_unrelaxed_rank_021_alphafold2_multimer_v3_model_2_seed_003	93.027	88.645	84.973	72.5	93.799	94.897	90.538	7n4j
7n4j_unrelaxed_rank_024_alphafold2_multimer_v3_model_2_seed_001	92.24	83.944	78.44	72.15	93.64	94.977	89.958	7n4j
7n4j_unrelaxed_rank_007_alphafold2_multimer_v3_model_4_seed_004	93.415	88.756	85.901	72.966	93.693	95.083	90.824	7n4j
7n4j_unrelaxed_rank_008_alphafold2_multimer_v3_model_3_seed_002	93.842	89.363	89.019	74.1	93.916	95.273	91.286	7n4j
7n4j_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_000	92.738	88.056	85.117	67.815	92.209	94.587	91.192	7n4j
7n4j_unrelaxed_rank_010_alphafold2_multimer_v3_model_3_seed_004	93.676	89.063	85.929	74.607	93.869	95.437	90.901	7n4j
7n4j_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_001	93.78	89.067	88.071	74.871	93.847	95.313	90.745	7n4j
7n4j_unrelaxed_rank_015_alphafold2_multimer_v3_model_5_seed_000	93.188	89.412	87.91	71.751	91.131	94.477	89.016	7n4j
